"","mean","sd","se(mean)","var","IQR","CV","skewness","kurtosis","0%","2.5%","25%","50%","75%","97.5%","100%"
"OK_SPH",0.460615142653314,30.3099152318255,3.91299323059395,918.690961360445,38.2189903139684,65.8031237471463,1.08517142701667,1.09472397404935,-44.3769364072204,-42.1998885382059,-22.639895903611,-6.57294161846751,15.5790944103574,72.9395212229558,94.7026247011173
"OK_EXP",0.387848790618795,30.519518950192,3.94005295427852,931.441036951132,37.0117815613255,78.6892203569838,1.07547070622617,1.20615565716522,-46.2191547293567,-44.474963095667,-22.1676011909719,-5.442612234098,14.8441803703535,73.5503456134217,96.2852908244857
"OK_GAU",0.317556934282669,30.2759875075387,3.9086131802227,916.635419556637,40.5712464336926,95.3403444832002,1.08076765230313,0.80056285213725,-39.8390001584363,-36.2918240136291,-23.2489247005579,-6.89167986037509,17.3223217331346,72.4611386255872,90.9961267464747
"SK_SPH",0.736466952996858,29.9262580763869,3.86346330480506,895.580922454514,36.1280231423452,40.6348960460614,1.12190082343743,1.15612465008144,-42.7425972878068,-39.48384138618,-21.8761552999308,-5.7399282091947,14.2518678424144,72.9578719759842,94.584770672311
"SK_EXP",0.415841964960615,30.4113605206194,3.92608976106228,924.850848715085,36.8701979539504,73.1320142821557,1.09699521639769,1.27937303063032,-46.1612858229787,-43.952115473177,-22.5506435166802,-5.04866686507364,14.3195544372702,72.9961063869965,97.2049544534734
"SK_GAU",0.750950234001636,29.3027189729847,3.78296475269886,858.649339209719,38.8913071715495,39.0208533751131,1.14529656206681,1.02378660691048,-36.8641820292286,-34.5974171490366,-21.7283738309167,-5.58347223342793,17.1629333406328,71.9264718007885,90.3274124349657
"UK_SPH",0.140011141930099,30.0028780878717,3.87335490575396,900.172693555694,35.0747014592791,214.289217802758,1.11902329443794,1.16912252809541,-43.3580418817143,-40.58963489211,-22.1163145687645,-6.75270821450582,12.9583868905146,72.7636394101494,94.3017468247464
"UK_EXP",0.18910739680742,30.4395782657015,3.92973265628797,926.567924993767,36.833098770328,160.964503660849,1.09340121136586,1.28574915767657,-46.3146363763362,-44.4885880751051,-22.5092412478118,-5.12092867067722,14.3238575225162,72.8020268879393,97.2044503614708
"UK_GAU",0.143033091209718,29.2944018354349,3.78189101485824,858.16197889593,38.2884517530717,204.808562743588,1.14504124415396,1.08604703575281,-38.353600795472,-36.4170712108134,-22.2608873014778,-6.0200513743549,16.0275644515939,71.8986691555975,90.3190199878691
